"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
177,"0.03703","0.22137","244.83",23687,-34,"464.16","2.6033"
178,"0.03760","0.14477","229.39",23582,-29,"454.95","2.3594"
179,"0.03816","0.06827","213.85",23471,-21,"444.67","1.9878"
180,"0.03872","0.00755","198.22",23356,-12,"434.02","1.5086"
181,"0.03926","0.08270","182.51",23240,-2,"423.71","0.9446"
182,"0.03979","0.15669","166.71",23124,9,"414.46","0.3360"
183,"0.04031","0.22943","150.84",23011,20,"406.92","-0.2792"
184,"0.04081","0.30063","134.88",22902,29,"401.60","-0.8523"
185,"0.04130","0.36989","118.85",22800,36,"398.89","-1.3396"
186,"0.04178","0.43723","102.75",22707,41,"398.99","-1.7013"
187,"0.04224","0.50234","86.59",22626,42,"401.91","-1.9093"
188,"0.04268","0.56524","70.37",22557,40,"407.48","-1.9365"
189,"0.04311","0.62553","54.10",22502,35,"415.30","-1.7838"
190,"0.04353","0.68322","37.79",22464,27,"424.81","-1.4520"
191,"0.04393","0.73811","21.45",22444,16,"435.27","-0.9652"
192,"0.04432","0.79011","5.08",22442,4,"445.83","-0.3567"
193,"0.04469","0.83912","348.70",22459,-9,"455.62","0.3258"
194,"0.04505","0.88523","332.32",22496,-21,"463.78","1.0352"
195,"0.04540","0.92816","315.94",22552,-32,"469.59","1.7125"
196,"0.04573","0.96790","299.58",22627,-40,"472.53","2.3102"
197,"0.04605","1.00450","283.23",22719,-45,"472.37","2.7816"
198,"0.04635","1.03770","266.93",22828,-46,"469.16","3.1027"
199,"0.04664","1.06770","250.66",22951,-44,"463.26","3.2492"
200,"0.04692","1.09440","234.44",23086,-38,"455.27","3.2308"
201,"0.04719","1.11770","218.27",23230,-29,"445.97","3.0539"
202,"0.04744","1.13770","202.16",23380,-18,"436.23","2.7593"
203,"0.04768","1.15460","186.10",23533,-5,"426.95","2.3816"
204,"0.04790","1.16800","170.10",23685,8,"418.95","1.9719"
205,"0.04811","1.17820","154.16",23833,21,"412.93","1.5752"
206,"0.04830","1.18520","138.27",23973,32,"409.41","1.2427"
207,"0.04848","1.18900","122.43",24102,41,"408.75","1.0076"
208,"0.04864","1.18980","106.64",24216,47,"411.08","0.9058"
209,"0.04879","1.18740","90.87",24313,49,"416.33","0.9439"
210,"0.04892","1.18190","75.14",24390,47,"424.23","1.1303"
211,"0.04904","1.17350","59.42",24444,42,"434.28","1.4511"
212,"0.04913","1.16220","43.72",24475,34,"445.83","1.8821"
213,"0.04921","1.14810","28.01",24480,23,"458.04","2.3864"
214,"0.04926","1.13120","12.29",24459,10,"469.98","2.9253"
215,"0.04929","1.11170","356.55",24412,-3,"480.68","3.4456"
216,"0.04930","1.08960","340.77",24338,-16,"489.20","3.9070"
217,"0.04929","1.06490","324.95",24240,-28,"494.74","4.2589"
218,"0.04926","1.03770","309.07",24118,-38,"496.72","4.4682"
219,"0.04919","1.00820","293.12",23975,-45,"494.83","4.5033"
220,"0.04910","0.97649","277.10",23813,-49,"489.13","4.3519"
221,"0.04899","0.94263","261.00",23637,-48,"479.96","4.0037"
222,"0.04885","0.90655","244.80",23450,-44,"468.00","3.4760"
223,"0.04867","0.86844","228.50",23258,-36,"454.16","2.7868"
224,"0.04847","0.82841","212.10",23064,-26,"439.50","1.9778"
225,"0.04823","0.78664","195.60",22875,-13,"425.10","1.0899"
226,"0.04797","0.74303","179.00",22695,1,"412.02","0.1815"
227,"0.04767","0.69779","162.30",22530,14,"401.18","-0.6917"
228,"0.04734","0.65100","145.53",22385,27,"393.28","-1.4685"
229,"0.04697","0.60248","128.68",22264,37,"388.80","-2.1023"
230,"0.04657","0.55270","111.77",22171,43,"387.98","-2.5491"
231,"0.04614","0.50157","94.83",22109,46,"390.76","-2.7896"
232,"0.04567","0.44909","77.86",22079,45,"396.84","-2.8149"
233,"0.04517","0.39536","60.89",22084,39,"405.67","-2.6430"
234,"0.04463","0.34047","43.95",22122,31,"416.49","-2.2980"
235,"0.04406","0.28461","27.04",22191,20,"428.38","-1.8228"
236,"0.04345","0.22770","10.20",22291,8,"440.35","-1.2585"
237,"0.04281","0.17001","353.43",22417,-5,"451.39","-0.6494"
238,"0.04214","0.11135","336.75",22566,-17,"460.66","-0.0370"
239,"0.04144","0.05203","320.19",22733,-27,"467.49","0.5402"
240,"0.04071","0.00807","303.74",22912,-34,"471.47","1.0554"
241,"0.03994","0.06866","287.41",23099,-38,"472.52","1.4841"
242,"0.03916","0.12972","271.21",23288,-39,"470.84","1.8133"
243,"0.03834","0.19117","255.14",23475,-37,"466.84","2.0361"
244,"0.03750","0.25291","239.21",23654,-32,"461.15","2.1480"
245,"0.03664","0.31494","223.40",23820,-25,"454.46","2.1508"
246,"0.03575","0.37697","207.73",23971,-17,"447.48","2.0524"
247,"0.03485","0.43890","192.17",24103,-7,"440.85","1.8673"
248,"0.03394","0.50064","176.74",24213,2,"435.14","1.6194"
249,"0.03301","0.56200","161.43",24299,11,"430.73","1.3349"
250,"0.03208","0.62277","146.23",24360,18,"427.89","1.0483"
251,"0.03115","0.68278","131.15",24396,23,"426.71","0.7850"
252,"0.03021","0.74182","116.18",24406,27,"427.15","0.5632"
253,"0.02928","0.79960","101.32",24391,29,"429.04","0.3912"
254,"0.02836","0.85604","86.58",24351,28,"432.10","0.2647"
255,"0.02746","0.91054","71.95",24290,26,"436.00","0.1733"
256,"0.02657","0.96302","57.43",24208,22,"440.35","0.1055"
257,"0.02572","1.01300","43.04",24108,18,"444.78","0.0510"
258,"0.02490","1.06020","28.76",23994,12,"448.93","0.0009"
259,"0.02412","1.10400","14.61",23867,6,"452.50","-0.0444"
260,"0.02338","1.14420","0.59",23732,0,"455.26","-0.0923"
261,"0.02271","1.18020","346.68",23591,-5,"457.05","-0.1409"
262,"0.02210","1.21150","332.90",23449,-10,"457.80","-0.1988"
263,"0.02156","1.23770","319.23",23309,-14,"457.51","-0.2676"
264,"0.02110","1.25810","305.65",23174,-17,"456.25","-0.3588"
265,"0.02072","1.27270","292.15",23046,-19,"454.11","-0.4682"
266,"0.02043","1.28070","278.71",22930,-20,"451.23","-0.6062"
267,"0.02023","1.28180","265.30",22826,-20,"447.72","-0.7591"
268,"0.02013","1.27600","251.87",22737,-19,"443.75","-0.9359"
269,"0.02012","1.26280","238.41",22665,-17,"439.43","-1.1194"
270,"0.02020","1.24240","224.88",22611,-14,"434.92","-1.3155"
271,"0.02037","1.21480","211.25",22574,-11,"430.37","-1.5036"
272,"0.02062","1.18010","197.49",22556,-6,"425.93","-1.6925"
273,"0.02094","1.13850","183.58",22555,-1,"421.79","-1.8632"
274,"0.02134","1.09060","169.52",22571,4,"418.16","-2.0217"
275,"0.02179","1.03650","155.30",22604,9,"415.25","-2.1517"
276,"0.02229","0.97701","140.91",22651,14,"413.27","-2.2572"
277,"0.02284","0.91237","126.36",22711,18,"412.44","-2.3169"
278,"0.02343","0.84320","111.66",22783,22,"412.94","-2.3295"
279,"0.02404","0.77008","96.82",22865,24,"414.87","-2.2763"
280,"0.02468","0.69339","81.85",22954,24,"418.28","-2.1556"
281,"0.02532","0.61390","66.76",23048,23,"423.12","-1.9529"
282,"0.02598","0.53190","51.57",23147,20,"429.22","-1.6706"
283,"0.02664","0.44787","36.27",23248,16,"436.31","-1.3049"
284,"0.02730","0.36231","20.90",23348,10,"444.00","-0.8691"
285,"0.02795","0.27577","5.45",23447,3,"451.81","-0.3740"
286,"0.02860","0.18847","349.93",23542,-5,"459.21","0.1619"
287,"0.02923","0.10078","334.35",23632,-13,"465.63","0.7109"
288,"0.02984","0.01319","318.72",23714,-20,"470.57","1.2486"
289,"0.03043","0.07412","303.05",23789,-26,"473.58","1.7408"
290,"0.03101","0.16065","287.32",23854,-30,"474.38","2.1625"
291,"0.03156","0.24641","271.56",23907,-32,"472.85","2.4857"
292,"0.03208","0.33073","255.76",23949,-31,"469.08","2.6914"
293,"0.03258","0.41369","239.92",23978,-28,"463.34","2.7628"
294,"0.03305","0.49492","224.04",23993,-23,"456.09","2.7004"
295,"0.03349","0.57421","208.13",23993,-16,"447.91","2.5037"
296,"0.03391","0.65129","192.17",23979,-7,"439.46","2.1905"
297,"0.03429","0.72596","176.17",23949,2,"431.42","1.7810"
298,"0.03464","0.79821","160.13",23906,12,"424.41","1.3077"
299,"0.03496","0.86767","144.04",23847,21,"418.99","0.8066"
300,"0.03525","0.93423","127.90",23776,28,"415.56","0.3227"
301,"0.03551","0.99771","111.70",23692,33,"414.37","-0.1108"
302,"0.03574","1.05790","95.45",23598,36,"415.50","-0.4498"
303,"0.03594","1.11500","79.13",23494,35,"418.83","-0.6731"
304,"0.03611","1.16850","62.75",23384,32,"424.08","-0.7625"
305,"0.03625","1.21860","46.31",23270,26,"430.78","-0.7198"
306,"0.03636","1.26480","29.79",23154,18,"438.32","-0.5528"
307,"0.03644","1.30760","13.21",23041,8,"445.98","-0.2870"
308,"0.03650","1.34640","356.57",22931,-2,"453.03","0.0519"
309,"0.03653","1.38120","339.86",22830,-13,"458.73","0.4254"
310,"0.03653","1.41200","323.09",22740,-22,"462.48","0.7981"
311,"0.03650","1.43900","306.27",22664,-29,"463.84","1.1246"
312,"0.03645","1.46180","289.41",22605,-34,"462.62","1.3707"
313,"0.03638","1.48070","272.51",22565,-36,"458.90","1.4987"
314,"0.03628","1.49540","255.58",22546,-35,"453.01","1.4926"
315,"0.03616","1.50590","238.64",22549,-31,"445.49","1.3452"
316,"0.03602","1.51240","221.69",22575,-24,"437.08","1.0727"
317,"0.03586","1.51470","204.76",22624,-15,"428.55","0.6980"
318,"0.03567","1.51300","187.85",22694,-5,"420.70","0.2656"
319,"0.03547","1.50710","170.97",22784,6,"414.24","-0.1809"
320,"0.03525","1.49700","154.13",22891,15,"409.75","-0.5797"
321,"0.03501","1.48310","137.34",23014,24,"407.64","-0.8886"
322,"0.03475","1.46520","120.60",23148,30,"408.11","-1.0563"
323,"0.03447","1.44330","103.93",23289,33,"411.17","-1.0661"
324,"0.03418","1.41750","87.31",23435,34,"416.64","-0.9067"
325,"0.03386","1.38800","70.76",23579,32,"424.14","-0.6005"
326,"0.03354","1.35480","54.26",23719,27,"433.14","-0.1674"
327,"0.03319","1.31800","37.82",23851,20,"443.00","0.3452"
328,"0.03283","1.27760","21.42",23970,12,"452.96","0.9046"
329,"0.03245","1.23380","5.07",24074,3,"462.29","1.4642"
330,"0.03206","1.18660","348.74",24159,-6,"470.25","1.9897"
