Age,ECC,ECC_413k_notched_out,OMEGA,OBL,Prec,EXI,ETP,EXI_WM
1757,0.04581,,352.9,22.846,-0.006,459.29,,488.73
1758,0.0451,,336,22.869,-0.018,467.5,,497.33
1759,0.04436,,319.15,22.903,-0.029,472.81,,502.77
1760,0.04356,,302.33,22.947,-0.037,474.83,,504.66
1761,0.04273,,285.56,23.001,-0.041,473.55,,502.99
1762,0.04185,,268.85,23.063,-0.042,469.29,,498.1
1763,0.04093,,252.2,23.132,-0.039,462.65,,490.64
1764,0.03997,,235.63,23.208,-0.033,454.44,,481.51
1765,0.03898,,219.13,23.288,-0.025,445.56,,471.64
1766,0.03794,,202.73,23.371,-0.015,436.87,,461.99
1767,0.03688,,186.42,23.455,-0.004,429.17,,453.39
1768,0.03578,,170.22,23.539,0.006,423.08,,446.5
1769,0.03464,,154.13,23.621,0.015,419.01,,441.79
1770,0.03349,,138.17,23.698,0.022,417.18,,439.45
1771,0.03231,,122.33,23.769,0.027,417.58,,439.51
1772,0.0311,,106.65,23.832,0.03,420.03,,441.76
1773,0.02989,,91.12,23.885,0.03,424.18,,445.83
1774,0.02866,,75.76,23.928,0.028,429.58,,451.28
1775,0.02742,,60.59,23.959,0.024,435.7,,457.54
1776,0.02618,,45.63,23.977,0.019,442,,464.05
1777,0.02496,,30.91,23.982,0.013,447.95,,470.28
1778,0.02375,,16.44,23.972,0.007,453.13,,475.77
1779,0.02256,,2.26,23.949,0.001,457.22,,480.2
1780,0.02142,,348.41,23.912,-0.004,460.05,,483.39
1781,0.02032,,334.92,23.861,-0.009,461.55,,485.25
1782,0.0193,,321.83,23.799,-0.012,461.8,,485.88
1783,0.01836,,309.16,23.725,-0.014,460.96,,485.43
1784,0.01752,,296.94,23.641,-0.016,459.25,,484.09
1785,0.01682,,285.16,23.549,-0.016,456.88,,482.12
1786,0.01626,,273.78,23.452,-0.016,454.06,,479.71
1787,0.01588,,262.72,23.35,-0.016,450.96,,477.01
1788,0.01567,,251.87,23.247,-0.015,447.67,,474.1
1789,0.01567,,241.07,23.145,-0.014,444.23,,471.04
1790,0.01585,,230.16,23.046,-0.012,440.65,,467.78
1791,0.01623,,218.97,22.953,-0.01,436.89,,464.31
1792,0.01678,,207.4,22.867,-0.008,432.95,,460.59
1793,0.01748,,195.35,22.792,-0.005,428.85,,456.64
1794,0.01832,,182.81,22.728,-0.001,424.67,,452.54
1795,0.01928,,169.75,22.677,0.003,420.59,,448.45
1796,0.02032,,156.22,22.642,0.008,416.83,,444.64
1797,0.02145,,142.25,22.621,0.013,413.7,,441.4
1798,0.02262,,127.88,22.616,0.018,411.52,,439.11
1799,0.02385,,113.18,22.627,0.022,410.64,,438.1
1800,0.0251,,98.19,22.654,0.025,411.32,,438.7
1801,0.02638,,82.95,22.695,0.026,413.78,,441.1
1802,0.02767,,67.51,22.749,0.026,418.07,,445.39
1803,0.02896,,51.9,22.816,0.023,424.12,,451.48
1804,0.03026,,36.14,22.893,0.018,431.68,,459.1
1805,0.03154,,20.28,22.978,0.011,440.3,,467.79
1806,0.03281,,4.32,23.07,0.002,449.41,,476.95
1807,0.03406,,348.29,23.166,-0.007,458.29,,485.82
1808,0.0353,,332.21,23.264,-0.016,466.19,,493.62
1809,0.0365,,316.08,23.362,-0.025,472.36,,499.56
1810,0.03768,,299.91,23.458,-0.033,476.16,,503.01
1811,0.03883,,283.72,23.55,-0.038,477.16,,503.51
1812,0.03995,,267.51,23.637,-0.04,475.16,,500.89
1813,0.04103,,251.28,23.716,-0.039,470.25,,495.25
1814,0.04208,,235.04,23.787,-0.034,462.84,,487.04
1815,0.04308,,218.78,23.847,-0.027,453.56,,476.93
1816,0.04405,,202.51,23.897,-0.017,443.25,,465.81
1817,0.04497,,186.23,23.936,-0.005,432.82,,454.66
1818,0.04586,,169.93,23.962,0.008,423.23,,444.44
1819,0.0467,,153.61,23.976,0.021,415.33,,436.07
1820,0.04749,,137.28,23.977,0.032,409.85,,430.3
1821,0.04824,,120.93,23.967,0.041,407.31,,427.69
1822,0.04895,,104.55,23.944,0.047,408,,428.53
1823,0.04961,,88.15,23.91,0.05,411.97,,432.88
1824,0.05022,,71.73,23.866,0.048,419.01,,440.51
1825,0.05079,,55.27,23.812,0.042,428.62,,450.91
1826,0.05131,,38.79,23.748,0.032,440.08,,463.29
1827,0.05179,,22.27,23.678,0.02,452.42,,476.69
1828,0.05222,,5.72,23.601,0.005,464.55,,489.92
1829,0.05261,,349.13,23.52,-0.01,475.31,,501.75
1830,0.05295,,332.5,23.435,-0.024,483.6,,511.01
1831,0.05325,,315.84,23.348,-0.037,488.49,,516.71
1832,0.0535,,299.14,23.262,-0.047,489.39,,518.19
1833,0.05372,,282.41,23.177,-0.052,486.07,,515.2
1834,0.05389,,265.64,23.096,-0.054,478.75,,507.93
1835,0.05401,,248.84,23.02,-0.05,468.03,,497.01
1836,0.0541,,232.01,22.95,-0.043,454.87,,483.44
1837,0.05415,,215.15,22.888,-0.031,440.44,,468.44
1838,0.05415,,198.27,22.836,-0.017,425.98,,453.35
1839,0.05412,,181.38,22.794,-0.001,412.72,,439.45
1840,0.05405,,164.47,22.764,0.014,401.71,,427.88
1841,0.05394,,147.56,22.746,0.029,393.79,,419.54
1842,0.05379,,130.65,22.74,0.041,389.55,,415.05
1843,0.05361,,113.75,22.747,0.049,389.27,,414.71
1844,0.0534,,96.85,22.767,0.053,392.93,,418.52
1845,0.05314,,79.98,22.798,0.052,400.26,,426.16
1846,0.05286,,63.13,22.842,0.047,410.68,,437.03
1847,0.05254,,46.3,22.895,0.038,423.36,,450.24
1848,0.05219,,29.51,22.958,0.026,437.29,,464.71
1849,0.0518,,12.76,23.029,0.011,451.32,,479.22
1850,0.05139,,356.05,23.105,-0.004,464.27,,492.51
1851,0.05094,,339.38,23.186,-0.018,475.04,,503.45
1852,0.05046,,322.75,23.269,-0.031,482.74,,511.1
1853,0.04995,,306.17,23.353,-0.04,486.77,,514.86
1854,0.04941,,289.63,23.435,-0.047,486.9,,514.51
1855,0.04884,,273.13,23.513,-0.049,483.29,,510.21
1856,0.04825,,256.67,23.586,-0.047,476.44,,502.54
1857,0.04762,,240.25,23.653,-0.041,467.12,,492.32
1858,0.04696,,223.87,23.71,-0.033,456.28,,480.57
1859,0.04628,,207.51,23.759,-0.021,444.96,,468.38
1860,0.04556,,191.18,23.796,-0.009,434.14,,456.78
1861,0.04482,,174.88,23.822,0.004,424.68,,446.7
1862,0.04405,,158.59,23.836,0.016,417.29,,438.85
1863,0.04325,,142.31,23.838,0.026,412.44,,433.75
1864,0.04242,,126.04,23.827,0.034,410.39,,431.64
1865,0.04157,,109.77,23.804,0.039,411.16,,432.56
1866,0.04069,,93.5,23.771,0.041,414.55,,436.31
1867,0.03978,,77.24,23.727,0.039,420.18,,442.46
1868,0.03884,,60.96,23.674,0.034,427.47,,450.43
1869,0.03788,,44.68,23.613,0.027,435.74,,459.47
1870,0.0369,,28.39,23.546,0.018,444.21,,468.78
1871,0.03588,,12.1,23.475,0.008,452.12,,477.52
1872,0.03485,,355.8,23.401,-0.003,458.74,,484.95
1873,0.03379,,339.51,23.327,-0.012,463.52,,490.43
1874,0.0327,,323.21,23.254,-0.02,466.06,,493.54
1875,0.0316,,306.94,23.184,-0.025,466.23,,494.13
1876,0.03048,,290.68,23.119,-0.029,464.11,,492.26
1877,0.02933,,274.46,23.061,-0.029,460.02,,488.25
1878,0.02817,,258.28,23.011,-0.028,454.43,,482.61
1879,0.027,,242.17,22.971,-0.024,447.93,,475.94
1880,0.02581,,226.14,22.941,-0.019,441.15,,468.9
1881,0.02461,,210.22,22.922,-0.012,434.68,,462.12
1882,0.02341,,194.44,22.914,-0.006,429,,456.14
1883,0.0222,,178.81,22.918,0,424.51,,451.34
1884,0.021,,163.39,22.932,0.006,421.42,,447.97
1885,0.0198,,148.21,22.957,0.01,419.82,,446.14
1886,0.01861,,133.32,22.992,0.014,419.64,,445.77
1887,0.01745,,118.78,23.035,0.015,420.71,,446.67
1888,0.01631,,104.66,23.085,0.016,422.76,,448.59
1889,0.01522,,91.02,23.141,0.015,425.5,,451.21
1890,0.01419,,77.96,23.2,0.014,428.63,,454.19
1891,0.01324,,65.56,23.262,0.012,431.86,,457.27
1892,0.01238,,53.9,23.325,0.01,434.98,,460.23
1893,0.01165,,43.03,23.388,0.008,437.85,,462.94
1894,0.01107,,32.93,23.447,0.006,440.42,,465.32
1895,0.01068,,23.5,23.503,0.004,442.71,,467.42
1896,0.01048,,14.52,23.554,0.003,444.77,,469.31
1897,0.01049,,5.69,23.599,0.001,446.71,,471.11
1898,0.01071,,356.66,23.637,-0.001,448.6,,472.9
1899,0.01113,,347.16,23.667,-0.002,450.5,,474.73
1900,0.01171,,336.97,23.688,-0.005,452.39,,476.61
1901,0.01244,,326.02,23.7,-0.007,454.21,,478.45
1902,0.01329,,314.31,23.703,-0.01,455.79,,480.1
1903,0.01422,,301.87,23.697,-0.012,456.94,,481.34
1904,0.01522,,288.81,23.682,-0.014,457.41,,481.93
1905,0.01627,,275.18,23.658,-0.016,456.97,,481.6
1906,0.01735,,261.08,23.626,-0.017,455.44,,480.17
1907,0.01846,,246.56,23.586,-0.017,452.7,,477.51
1908,0.01957,,231.7,23.54,-0.015,448.77,,473.62
1909,0.02069,,216.52,23.488,-0.012,443.79,,468.66
1910,0.0218,,201.09,23.431,-0.008,438.05,,462.9
1911,0.0229,,185.42,23.371,-0.002,431.94,,456.78
1912,0.02399,,169.55,23.308,0.004,425.95,,450.77
1913,0.02506,,153.5,23.245,0.011,420.61,,445.46
1914,0.0261,,137.29,23.182,0.018,416.44,,441.37
1915,0.02712,,120.94,23.121,0.023,413.87,,438.96
1916,0.02811,,104.46,23.064,0.027,413.25,,438.6
1917,0.02906,,87.86,23.011,0.029,414.75,,440.48
1918,0.02998,,71.17,22.964,0.028,418.37,,444.57
1919,0.03086,,54.38,22.924,0.025,423.91,,450.67
1920,0.0317,,37.52,22.893,0.019,430.97,,458.34
1921,0.0325,,20.59,22.871,0.011,438.96,,466.96
1922,0.03326,,3.6,22.859,0.002,447.16,,475.75
1923,0.03398,,346.56,22.858,-0.008,454.78,,483.87
1924,0.03464,,329.48,22.868,-0.018,461.02,,490.44
1925,0.03526,,312.37,22.889,-0.026,465.19,,494.76
1926,0.03584,,295.24,22.922,-0.032,466.82,,496.31
1927,0.03636,,278.1,22.965,-0.036,465.67,,494.82
1928,0.03684,,260.95,23.018,-0.036,461.81,,490.41
